USER GROWTH OF INSTAGRAM IN INDIA(2024),,,,,,,,,,,,,,,,,,
MONTHS,USER GROWTH,MEN,FEMALE,,,,,,,,,,,,,,,
JANUARY,11247600,7479654,3767946,,,,,,,,,,,,,,,
FEBRUARY,3587900,2385953,1201947,,,,,,,,,,,,,,,
MARCH,10408400,6952811,3455589,,,,,,,,,,,,,,,
APRIL,7703100,5153373,2549726,,,,,,,,,,,,,,,
MAY,1288400,861939,426461,,,,,,,,,,,,,,,
JUNE,1777900,1093408,684492,,,,,,,,,,,,,,,
JULY,7849051,5211769,2637282,,,,,,,,,,,,,,,
AUGUST,2715683,2036762,678921,,,,,,,,,,,,,,,
SEPTEMBER,5921632,4299105,1622527,,,,,,,,,,,,,,,
OCTOBER,14694561,9110628,5583933,,,,,,,,,,,,,,,
NOVEMBER,8541562,5552016,2989546,,,,,,,,,,,,,,,
DECEMBER,4596587,31716456,27119869,,,,,,,,,,,,,,,
